pT,$p_{T}$ [$GeV/c$] LOW,$p_{T}$ [$GeV/c$] HIGH,ratio,stat. +,stat. -,syst. +,syst. -,syst. uncorr. +,syst. uncorr. -,abserror
0.325,0.3,0.35,0.013487667,0.0004234,-0.0004234,0.0013074,-0.0013074,0.000438713,-0.000438713,0.001444378
0.375,0.35,0.4,0.016863,0.000423483,-0.000423483,0.0014887,-0.0014887,0.000536487,-0.000536487,0.001639478
0.425,0.4,0.45,0.020764667,0.000446727,-0.000446727,0.0016421,-0.0016421,0.000662313,-0.000662313,0.001827717
0.475,0.45,0.5,0.024661333,0.000117294,-0.000117294,0.00099726,-0.00099726,0.00099726,-0.00099726,0.001415274
0.525,0.5,0.55,0.029689333,0.000136711,-0.000136711,0.001030897,-0.001030897,0.001030897,-0.001030897,0.001464577
0.575,0.55,0.6,0.035103667,0.000160193,-0.000160193,0.001119133,-0.001119133,0.001119133,-0.001119133,0.001591663
0.625,0.6,0.65,0.040155667,0.00018491,-0.00018491,0.0028134,-0.0028134,0.0028134,-0.0028134,0.003983472
0.675,0.65,0.7,0.048087667,0.000227643,-0.000227643,0.010879333,-0.010879333,0.010879333,-0.010879333,0.015387539
0.725,0.7,0.75,0.053001667,0.000278837,-0.000278837,0.004896567,-0.004896567,0.002214167,-0.002214167,0.005409473
0.775,0.75,0.8,0.061213667,0.00038668,-0.00038668,0.007705,-0.007705,0.003007267,-0.003007267,0.008312345
0.825,0.8,0.85,0.06797,0.000591743,-0.000591743,0.003002333,-0.003002333,0.003002333,-0.003002333,0.004288252
0.875,0.85,0.9,0.078559667,0.000710357,-0.000710357,0.001629733,-0.001629733,0.00139416,-0.00139416,0.002403251
0.925,0.9,0.95,0.089833333,0.000846737,-0.000846737,0.001211567,-0.001211567,0.00221551,-0.00221551,0.002811144
0.975,0.95,1,0.101224667,0.000998953,-0.000998953,0.001843933,-0.001843933,0.002185997,-0.002185997,0.003161115
1.05,1,1.1,0.11473,0.00085172,-0.00085172,0.002476967,-0.002476967,0.001449753,-0.001449753,0.003033652
1.15,1.1,1.2,0.150346667,0.001234657,-0.001234657,0.0044886,-0.0044886,0.001107917,-0.001107917,0.00479375
1.25,1.2,1.3,0.16832,0.0015368,-0.0015368,0.012019667,-0.012019667,0.00116705,-0.00116705,0.012181807
1.35,1.3,1.4,0.192736667,0.0018951,-0.0018951,0.020744,-0.020744,0.0014005,-0.0014005,0.020883969
1.45,1.4,1.5,0.21987,0.002340133,-0.002340133,0.003653933,-0.003653933,0.001565,-0.001565,0.004633781
1.55,1.5,1.6,0.248146667,0.002681133,-0.002681133,0.0057305,-0.0057305,0.001101067,-0.001101067,0.006484674
1.65,1.6,1.7,0.271846667,0.0030908,-0.0030908,0.006022467,-0.006022467,0.001402,-0.001402,0.007002368
1.75,1.7,1.8,0.297656667,0.003551167,-0.003551167,0.0068066,-0.0068066,0.001877267,-0.001877267,0.008044664
1.85,1.8,1.9,0.326666667,0.004117,-0.004117,0.0077138,-0.0077138,0.002180533,-0.002180533,0.009180178
1.95,1.9,2,0.344353333,0.004443633,-0.004443633,0.009403867,-0.009403867,0.001970867,-0.001970867,0.010708783
2.1,2,2.2,0.37264,0.003518467,-0.003518467,0.013429,-0.013429,0.002343067,-0.002343067,0.014168523
2.3,2.2,2.4,0.411736667,0.004133633,-0.004133633,0.017318667,-0.017318667,0.001529967,-0.001529967,0.017909595
2.5,2.4,2.6,0.439953333,0.004630967,-0.004630967,0.022993,-0.022993,2.8183E-06,-2.8183E-06,0.023470342
2.7,2.6,2.8,0.44968,0.005200833,-0.005200833,0.024933,-0.024933,0.000336087,-0.000336087,0.025500653
2.9,2.8,3,0.466213333,0.006022133,-0.006022133,0.026754,-0.026754,0.001069733,-0.001069733,0.027496564
3.1,3,3.2,0.46425,0.006937233,-0.006937233,0.025241333,-0.025241333,0,0,0.026224851
3.3,3.2,3.4,0.454596667,0.007698333,-0.007698333,0.025854667,-0.025854667,0,0,0.027029568
3.5,3.4,3.6,0.459386667,0.0079943,-0.0079943,0.028735333,-0.028735333,0.0006468,-0.0006468,0.029902027
3.7,3.6,3.8,0.450923333,0.008963667,-0.008963667,0.028238333,-0.028238333,0.000638233,-0.000638233,0.029703752
3.9,3.8,4,0.42983,0.009511033,-0.009511033,0.026602,-0.026602,0.001251567,-0.001251567,0.028355824
4.25,4,4.5,0.40537,0.0068141,-0.0068141,0.027433333,-0.027433333,0.0074361,-0.0074361,0.029270614
4.75,4.5,5,0.34932,0.007300667,-0.007300667,0.023164,-0.023164,0.004795067,-0.004795067,0.024818057
5.25,5,5.5,0.30513,0.0080195,-0.0080195,0.018602667,-0.018602667,0.003138533,-0.003138533,0.020563176
5.75,5.5,6,0.255433333,0.0081107,-0.0081107,0.016419,-0.016419,0.002540167,-0.002540167,0.018548508
6.25,6,6.5,0.22392,0.004763633,-0.004763633,0.023460667,-0.023460667,0.002249267,-0.002249267,0.024071654
6.75,6.5,7,0.19433,0.0044084,-0.0044084,0.020358667,-0.020358667,0.0019525,-0.0019525,0.020946382
7.5,7,8,0.16924,0.003954667,-0.003954667,0.017728,-0.017728,0.001648833,-0.001648833,0.018259124
8.5,8,9,0.143966667,0.003915333,-0.003915333,0.015079667,-0.015079667,0.001440433,-0.001440433,0.015667647
9.5,9,10,0.126756667,0.004126867,-0.004126867,0.013276333,-0.013276333,0.001918467,-0.001918467,0.01405801
10.5,10,11,0.116283333,0.004581733,-0.004581733,0.012178,-0.012178,0.001751,-0.001751,0.01315202
11.5,11,12,0.10649,0.005147767,-0.005147767,0.011154,-0.011154,0.0019899,-0.0019899,0.012473304
12.5,12,13,0.10466,0.0060027,-0.0060027,0.010961333,-0.010961333,0.002244067,-0.002244067,0.012736699
13.5,13,14,0.099900667,0.006932967,-0.006932967,0.010466,-0.010466,0.002929933,-0.002929933,0.01296076
14.5,14,15,0.094738333,0.0076004,-0.0076004,0.009922567,-0.009922567,0.002805867,-0.002805867,0.012875006
15.5,15,16,0.089222,0.008246933,-0.008246933,0.009344733,-0.009344733,0.003173033,-0.003173033,0.012927642
17,16,18,0.085887,0.008624933,-0.008624933,0.0089942,-0.0089942,0.003220767,-0.003220767,0.01295858
19,18,20,0.081611333,0.010973133,-0.010973133,0.008547867,-0.008547867,0.0038222,-0.0038222,0.014625583
