pT,$p_{T}$ [$GeV/c$] LOW,$p_{T}$ [$GeV/c$] HIGH,ratio,stat. +,stat. -,syst. +,syst. -,syst. uncorr. +,syst. uncorr. -,abserror
0.225,0.2,0.25,0.0666135,0.000669145,-0.000669145,0.0045594,-0.0045594,0.0015788,-0.0015788,0.004871667
0.275,0.25,0.3,0.0816055,0.000565545,-0.000565545,0.0047705,-0.0047705,0.00188335,-0.00188335,0.005160266
0.325,0.3,0.35,0.091001,0.00029614,-0.00029614,0.0012424,-0.0012424,0.0012424,-0.0012424,0.001783018
0.375,0.35,0.4,0.102166,0.00029916,-0.00029916,0.018267,-0.018267,0.018267,-0.018267,0.025835216
0.425,0.4,0.45,0.111735,0.00031738,-0.00031738,0.0360555,-0.0360555,0.0360555,-0.0360555,0.050991178
0.475,0.45,0.5,0.14638,0.000784355,-0.000784355,0.00524475,-0.00524475,0.0019933,-0.0019933,0.005666542
0.525,0.5,0.55,0.16452,0.000992025,-0.000992025,0.00731035,-0.00731035,0.00272815,-0.00272815,0.00786834
0.575,0.55,0.6,0.18078,0.00114135,-0.00114135,0.00899455,-0.00899455,0.0030137,-0.0030137,0.009557576
0.625,0.6,0.65,0.19747,0.00133765,-0.00133765,0.0113585,-0.0113585,0.00342625,-0.00342625,0.011941945
0.675,0.65,0.7,0.220005,0.00140185,-0.00140185,0.0054156,-0.0054156,0.0074953,-0.0074953,0.009358564
0.725,0.7,0.75,0.22672,0.0014982,-0.0014982,0.00585765,-0.00585765,0.00407875,-0.00407875,0.00729615
0.775,0.75,0.8,0.24855,0.00196455,-0.00196455,0.00787365,-0.00787365,0.0022745,-0.0022745,0.008458433
0.825,0.8,0.85,0.2627,0.0019207,-0.0019207,0.0084901,-0.0084901,0.0020684,-0.0020684,0.008990812
0.875,0.85,0.9,0.277435,0.0021447,-0.0021447,0.003031,-0.003031,0.00207905,-0.00207905,0.004313027
0.925,0.9,0.95,0.28932,0.00236655,-0.00236655,0.00505695,-0.00505695,0.00195375,-0.00195375,0.005950197
0.975,0.95,1,0.30223,0.00260225,-0.00260225,0.0046065,-0.0046065,0.0017078,-0.0017078,0.005569665
1.05,1,1.1,0.31841,0.0020756,-0.0020756,0.00578,-0.00578,0.0016062,-0.0016062,0.006353444
1.15,1.1,1.2,0.35187,0.002507,-0.002507,0.0079952,-0.0079952,0.00169535,-0.00169535,0.00855552
1.25,1.2,1.3,0.34925,0.00274305,-0.00274305,0.029804,-0.029804,0.001633,-0.001633,0.029976178
1.35,1.3,1.4,0.3662,0.0031233,-0.0031233,0.0419865,-0.0419865,0.0019186,-0.0019186,0.042148261
1.45,1.4,1.5,0.380885,0.0035236,-0.0035236,0.00601585,-0.00601585,0.00236335,-0.00236335,0.007370755
1.55,1.5,1.6,0.404135,0.00391075,-0.00391075,0.0080429,-0.0080429,0.0011939,-0.0011939,0.009108531
1.65,1.6,1.7,0.41474,0.0040653,-0.0040653,0.012381,-0.012381,0.0013479,-0.0013479,0.013177368
1.75,1.7,1.8,0.426115,0.00395765,-0.00395765,0.0184955,-0.0184955,0.001528,-0.001528,0.019044323
1.85,1.8,1.9,0.4446,0.0041394,-0.0041394,0.021299,-0.021299,0.0017303,-0.0017303,0.021843083
1.95,1.9,2,0.46109,0.00397425,-0.00397425,0.025558,-0.025558,0.00193195,-0.00193195,0.026014334
2.1,2,2.2,0.47228,0.0030236,-0.0030236,0.029259,-0.029259,0.00205975,-0.00205975,0.029562652
2.3,2.2,2.4,0.492635,0.0032883,-0.0032883,0.0332485,-0.0332485,0.0016648,-0.0016648,0.033499175
2.5,2.4,2.6,0.50274,0.0037396,-0.0037396,0.034313,-0.034313,0,0,0.034519126
2.7,2.6,2.8,0.508735,0.0044865,-0.0044865,0.034851,-0.034851,0,0,0.035144779
2.9,2.8,3,0.51979,0.00521975,-0.00521975,0.036134,-0.036134,0.0006292,-0.0006292,0.03652451
3.1,3,3.2,0.52578,0.0063016,-0.0063016,0.034044,-0.034044,0.0000026,-0.0000026,0.034627693
3.3,3.2,3.4,0.523615,0.0075774,-0.0075774,0.0344555,-0.0344555,2.68045E-06,-2.68045E-06,0.035289835
3.5,3.4,3.6,0.53754,0.00865465,-0.00865465,0.036154,-0.036154,0,0,0.037194489
3.7,3.6,3.8,0.536485,0.00989755,-0.00989755,0.0354,-0.0354,0,0,0.036786381
3.9,3.8,4,0.539195,0.01108,-0.01108,0.0349925,-0.0349925,0.0013039,-0.0013039,0.036802638
4.25,4,4.5,0.54229,0.0085405,-0.0085405,0.035827,-0.035827,0.013202,-0.013202,0.039168644
4.75,4.5,5,0.544575,0.0106388,-0.0106388,0.0314265,-0.0314265,0.0099179,-0.0099179,0.034697138
5.25,5,5.5,0.53603,0.012836,-0.012836,0.0264995,-0.0264995,0.0065021,-0.0065021,0.030241873
5.75,5.5,6,0.5404,0.015621,-0.015621,0.024783,-0.024783,0.0038656,-0.0038656,0.029661016
6.25,6,6.5,0.52869,0.00976465,-0.00976465,0.042295,-0.042295,0.00248385,-0.00248385,0.043500363
6.75,6.5,7,0.530725,0.01008275,-0.01008275,0.042458,-0.042458,0.00152775,-0.00152775,0.043683101
7.5,7,8,0.53563,0.01012635,-0.01012635,0.0428505,-0.0428505,0.0021991,-0.0021991,0.044107587
8.5,8,9,0.540215,0.0108729,-0.0108729,0.043217,-0.043217,0.00333865,-0.00333865,0.044713574
9.5,9,10,0.54291,0.0118255,-0.0118255,0.0434325,-0.0434325,0.00451285,-0.00451285,0.045266119
10.5,10,11,0.547985,0.01314,-0.01314,0.0438385,-0.0438385,0.00437865,-0.00437865,0.046005217
11.5,11,12,0.553505,0.014898,-0.014898,0.0442805,-0.0442805,0.00500195,-0.00500195,0.047015559
12.5,12,13,0.56059,0.0170415,-0.0170415,0.044847,-0.044847,0.0059549,-0.0059549,0.048387902
13.5,13,14,0.554195,0.019241,-0.019241,0.0443355,-0.0443355,0.00682735,-0.00682735,0.04885991
14.5,14,15,0.584005,0.022406,-0.022406,0.0467205,-0.0467205,0.00775035,-0.00775035,0.052444541
15.5,15,16,0.578505,0.0246165,-0.0246165,0.0462805,-0.0462805,0.00817495,-0.00817495,0.053122201
17,16,18,0.57019,0.0237765,-0.0237765,0.0456155,-0.0456155,0.00922945,-0.00922945,0.052339966
