PT [GEV],PT [GEV] LOW,PT [GEV] HIGH,v22Deta1,stat,sys
0.25,0.2,0.3,0.03902,0.00034,0.00414
0.35,0.3,0.4,0.05571,0.00035,0.00419
0.45,0.4,0.5,0.07152,0.00038,0.00395
0.55,0.5,0.6,0.08703,0.00042,0.00415
0.65,0.6,0.7,0.10105,0.00048,0.00376
0.75,0.7,0.8,0.11431,0.00054,0.0039
0.85,0.8,0.9,0.12628,0.0006,0.00396
0.95,0.9,1,0.13769,0.00068,0.00382
1.125,1,1.25,0.15398,0.0005,0.00406
1.375,1.25,1.5,0.17719,0.00066,0.00397
1.625,1.5,1.75,0.19676,0.00085,0.00375
1.875,1.75,2,0.21057,0.00108,0.00424
2.125,2,2.25,0.22441,0.00136,0.00418
2.375,2.25,2.5,0.23307,0.00168,0.00399
2.625,2.5,2.75,0.2381,0.00208,0.00501
2.875,2.75,3,0.23417,0.00257,0.00473
3.125,3,3.25,0.24323,0.00316,0.00653
3.375,3.25,3.5,0.23093,0.00385,0.00405
3.625,3.5,3.75,0.2265,0.00467,0.00609
3.875,3.75,4,0.21151,0.00565,0.0074
4.25,4,4.5,0.20772,0.00512,0.00739
4.75,4.5,5,0.1905,0.00706,0.00704
5.25,5,5.5,0.18282,0.00931,0.00729
5.75,5.5,6,0.15287,0.01202,0.00596
6.5,6,7,0.13888,0.01173,0.00606
7.5,7,8,0.08799,0.01727,0.00565
8.5,8,9,0.10452,0.02361,0.0074
9.5,9,10,0.1102,0.03163,0.00604
11,10,12,0.06385,0.03259,0.00654
