CMDLINE python3 getYieldsandRatios.py
MEM 0.304688 1706285293.5617
MEM 36.257812 1706285293.6623
MEM 47.773438 1706285293.7627
MEM 59.757812 1706285293.8632
MEM 64.265625 1706285293.9638
MEM 68.117188 1706285294.0643
MEM 73.433594 1706285294.1649
MEM 80.976562 1706285294.2656
MEM 97.457031 1706285294.3662
MEM 111.277344 1706285294.4667
MEM 139.324219 1706285294.5671
MEM 175.308594 1706285294.6677
MEM 233.640625 1706285294.7682
MEM 278.445312 1706285294.8688
MEM 323.394531 1706285294.9694
MEM 367.714844 1706285295.0699
MEM 406.972656 1706285295.1704
MEM 430.957031 1706285295.2710
MEM 435.308594 1706285295.3715
MEM 446.250000 1706285295.4721
MEM 463.089844 1706285295.5727
MEM 477.003906 1706285295.6734
MEM 488.539062 1706285295.7738
MEM 494.359375 1706285295.8744
MEM 499.308594 1706285295.9750
MEM 499.308594 1706285296.0754
MEM 519.496094 1706285296.1760
MEM 523.898438 1706285296.2769
MEM 527.343750 1706285296.3775
MEM 533.886719 1706285296.4780
MEM 535.320312 1706285296.5789
MEM 541.476562 1706285296.6795
MEM 553.925781 1706285296.7799
MEM 563.933594 1706285296.8804
MEM 564.664062 1706285296.9810
MEM 564.664062 1706285297.0815
MEM 564.664062 1706285297.1820
MEM 564.664062 1706285297.2825
MEM 564.664062 1706285297.3831
MEM 564.664062 1706285297.4836
MEM 564.664062 1706285297.5840
MEM 564.664062 1706285297.6846
MEM 564.664062 1706285297.7851
MEM 564.664062 1706285297.8856
MEM 564.664062 1706285297.9863
MEM 564.664062 1706285298.0869
MEM 564.664062 1706285298.1875
MEM 566.664062 1706285298.2880
MEM 580.812500 1706285298.3888
MEM 584.144531 1706285298.4894
MEM 588.281250 1706285298.5899
MEM 603.312500 1706285298.6909
MEM 618.000000 1706285298.7915
MEM 652.695312 1706285298.8920
MEM 663.003906 1706285298.9926
MEM 672.035156 1706285299.0932
MEM 678.035156 1706285299.1936
MEM 686.035156 1706285299.2943
MEM 694.035156 1706285299.3951
MEM 702.035156 1706285299.4956
MEM 710.035156 1706285299.5962
MEM 718.195312 1706285299.6970
MEM 726.195312 1706285299.7976
MEM 736.195312 1706285299.8980
MEM 744.195312 1706285299.9986
MEM 752.195312 1706285300.0991
MEM 762.195312 1706285300.1996
MEM 772.195312 1706285300.3002
MEM 782.195312 1706285300.4007
MEM 804.195312 1706285300.5013
MEM 818.195312 1706285300.6018
MEM 828.195312 1706285300.7024
MEM 840.195312 1706285300.8029
MEM 854.195312 1706285300.9037
MEM 868.195312 1706285301.0043
MEM 882.195312 1706285301.1049
MEM 896.195312 1706285301.2054
MEM 910.195312 1706285301.3060
MEM 926.195312 1706285301.4066
MEM 940.195312 1706285301.5071
MEM 954.371094 1706285301.6075
MEM 1006.527344 1706285301.7080
MEM 1076.910156 1706285301.8088
MEM 1126.109375 1706285301.9093
MEM 1001.566406 1706285302.0098
MEM 1004.058594 1706285302.1103
MEM 1006.058594 1706285302.2108
MEM 1010.058594 1706285302.3114
MEM 1010.058594 1706285302.4120
MEM 1012.058594 1706285302.5125
MEM 1014.058594 1706285302.6131
MEM 1019.164062 1706285302.7137
MEM 1023.164062 1706285302.8142
MEM 1027.875000 1706285302.9148
MEM 1033.792969 1706285303.0153
MEM 1038.707031 1706285303.1158
MEM 1042.394531 1706285303.2170
MEM 1045.359375 1706285303.3174
MEM 1045.359375 1706285303.4181
MEM 1045.359375 1706285303.5185
MEM 1045.359375 1706285303.6191
MEM 1045.359375 1706285303.7198
MEM 1045.359375 1706285303.8205
MEM 1045.359375 1706285303.9210
MEM 1045.359375 1706285304.0216
MEM 1045.359375 1706285304.1221
MEM 1045.359375 1706285304.2228
MEM 1045.359375 1706285304.3235
MEM 1045.359375 1706285304.4241
MEM 1045.359375 1706285304.5247
MEM 1045.359375 1706285304.6252
MEM 1045.359375 1706285304.7258
MEM 1045.359375 1706285304.8263
MEM 1045.359375 1706285304.9270
MEM 1045.359375 1706285305.0276
MEM 1045.359375 1706285305.1282
MEM 1045.359375 1706285305.2287
MEM 1045.359375 1706285305.3291
MEM 1045.359375 1706285305.4297
MEM 1045.359375 1706285305.5304
MEM 1045.406250 1706285305.6310
MEM 1045.406250 1706285305.7315
