pT,$p_{T}$ [$GeV/c$] LOW,$p_{T}$ [$GeV/c$] HIGH,ratio,stat. +,stat. -,syst. +,syst. -,abserror
0.225,0.2,0.25,0.068862,0.00010971,-0.00010971,0.0033985,-0.0033985,0.00340027
0.275,0.25,0.3,0.083202,0.00010036,-0.00010036,0.0040214,-0.0040214,0.004022652
0.325,0.3,0.35,0.095213,0.00028251,-0.00028251,0.002043,-0.002043,0.002062441
0.375,0.35,0.4,0.11287,0.000275,-0.000275,0.0028703,-0.0028703,0.002883444
0.425,0.4,0.45,0.12939,0.00026848,-0.00026848,0.00359,-0.00359,0.003600025
0.475,0.45,0.5,0.15305,0.00011617,-0.00011617,0.0066155,-0.0066155,0.00661652
0.525,0.5,0.55,0.16941,0.00030128,-0.00030128,0.0042688,-0.0042688,0.004279419
0.575,0.55,0.6,0.1806,0.00036317,-0.00036317,0.002358,-0.002358,0.002385803
0.625,0.6,0.65,0.19088,0.00039237,-0.00039237,0.001733,-0.001733,0.001776863
0.675,0.65,0.7,0.20271,0.0004227,-0.0004227,0.0018772,-0.0018772,0.001924202
0.725,0.7,0.75,0.21351,0.00046271,-0.00046271,0.00092638,-0.00092638,0.00103551
0.775,0.75,0.8,0.22547,0.00051361,-0.00051361,0.0010821,-0.0010821,0.001197805
0.825,0.8,0.85,0.23751,0.00057111,-0.00057111,0.0012621,-0.0012621,0.001385303
0.875,0.85,0.9,0.24886,0.00063314,-0.00063314,0.0031577,-0.0031577,0.003220549
0.925,0.9,0.95,0.25721,0.00069034,-0.00069034,0.003813,-0.003813,0.003874989
0.975,0.95,1,0.26451,0.00074896,-0.00074896,0.0021001,-0.0021001,0.002229655
1.05,1,1.1,0.27569,0.00059124,-0.00059124,0.0016301,-0.0016301,0.00173401
1.15,1.1,1.2,0.29223,0.00068714,-0.00068714,0.001231,-0.001231,0.001409795
1.25,1.2,1.3,0.30704,0.00078743,-0.00078743,0.0040245,-0.0040245,0.00410081
1.35,1.3,1.4,0.32416,0.00090749,-0.00090749,0.0050602,-0.0050602,0.00514093
1.45,1.4,1.5,0.33796,0.0010271,-0.0010271,0.0079112,-0.0079112,0.007977595
1.55,1.5,1.6,0.35028,0.0015819,-0.0015819,0.0083634,-0.0083634,0.00851169
1.65,1.6,1.7,0.36369,0.0019475,-0.0019475,0.010323,-0.010323,0.010505098
1.75,1.7,1.8,0.37321,0.0023796,-0.0023796,0.012036,-0.012036,0.012268977
1.85,1.8,1.9,0.38268,0.0027954,-0.0027954,0.013284,-0.013284,0.013574937
1.95,1.9,2,0.39121,0.003336,-0.003336,0.014931,-0.014931,0.015299139
2.1,2,2.2,0.38968,0.0032583,-0.0032583,0.012787,-0.012787,0.013195601
2.3,2.2,2.4,0.39567,0.0040216,-0.0040216,0.013355,-0.013355,0.013947376
2.5,2.4,2.6,0.399,0.0048402,-0.0048402,0.013622,-0.013622,0.014456363
2.7,2.6,2.8,0.3988,0.0056434,-0.0056434,0.013689,-0.013689,0.014806643
2.9,2.8,3,0.40195,0.0066673,-0.0066673,0.013858,-0.013858,0.015378461
3.1,3,3.2,0.40872,0.010138,-0.010138,0.019953,-0.019953,0.022380823
3.3,3.2,3.4,0.41493,0.010573,-0.010573,0.024723,-0.024723,0.026888939
3.5,3.4,3.6,0.41419,0.010297,-0.010297,0.025468,-0.025468,0.027470843
3.7,3.6,3.8,0.41413,0.0092869,-0.0092869,0.026567,-0.026567,0.028143418
3.9,3.8,4,0.42014,0.009105,-0.009105,0.02669,-0.02669,0.028200304
4.25,4,4.5,0.43538,0.0047387,-0.0047387,0.02843,-0.02843,0.028822217
4.75,4.5,5,0.44206,0.0062056,-0.0062056,0.025208,-0.025208,0.0259606
5.25,5,5.5,0.44492,0.0079593,-0.0079593,0.0211,-0.0211,0.022551285
5.75,5.5,6,0.44952,0.0099532,-0.0099532,0.021696,-0.021696,0.02387012
6.25,6,6.5,0.45591,0.012024,-0.012024,0.021781,-0.021781,0.02487948
6.75,6.5,7,0.45806,0.014694,-0.014694,0.022225,-0.022225,0.026643278
7.5,7,8,0.44921,0.013763,-0.013763,0.02403,-0.02403,0.027692256
8.5,8,9,0.47199,0.020104,-0.020104,0.037759,-0.037759,0.042777481
9.5,9,10,0.4725,0.02643,-0.02643,0.0378,-0.0378,0.046123583
10.5,10,11,0.4809,0.034108,-0.034108,0.038472,-0.038472,0.051414496
11.5,11,12,0.49929,0.044085,-0.044085,0.039943,-0.039943,0.059488911
12.5,12,13,0.50455,0.058126,-0.058126,0.040364,-0.040364,0.070766407
13.5,13,14,0.4775,0.070313,-0.070313,0.0382,-0.0382,0.080019735
14.5,14,15,0.47763,0.08196,-0.08196,0.03821,-0.03821,0.09042923
15.5,15,16,0.51312,0.099635,-0.099635,0.04105,-0.04105,0.107760084
17,16,18,0.5301,0.092402,-0.092402,0.042408,-0.042408,0.101668914
19,18,20,0.51245,0.136,-0.136,0.040996,-0.040996,0.142044613
