pT,$p_{T}$ [$GeV/c$] LOW,$p_{T}$ [$GeV/c$] HIGH,ratio,stat. +,stat. -,syst. +,syst. -,abserror
0.325,0.3,0.35,0.032347,0.00011448,-0.00011448,0.0021609,-0.0021609,0.00216393
0.375,0.35,0.4,0.039526,0.00011529,-0.00011529,0.0022735,-0.0022735,0.002276421
0.425,0.4,0.45,0.049146,0.00012476,-0.00012476,0.0025683,-0.0025683,0.002571328
0.475,0.45,0.5,0.056641,0.00017787,-0.00017787,0.0024729,-0.0024729,0.002479289
0.525,0.5,0.55,0.066272,0.00054112,-0.00054112,0.003006,-0.003006,0.003054316
0.575,0.55,0.6,0.075701,0.00057189,-0.00057189,0.0030575,-0.0030575,0.003110525
0.625,0.6,0.65,0.08542,0.00074293,-0.00074293,0.0034023,-0.0034023,0.003482469
0.675,0.65,0.7,0.094048,0.00045854,-0.00045854,0.0056291,-0.0056291,0.005647745
0.725,0.7,0.75,0.10023,0.00048626,-0.00048626,0.0044114,-0.0044114,0.004438119
0.775,0.75,0.8,0.11266,0.00056926,-0.00056926,0.0044849,-0.0044849,0.004520883
0.825,0.8,0.85,0.12064,0.00029672,-0.00029672,0.018087,-0.018087,0.018089434
0.875,0.85,0.9,0.13377,0.00035141,-0.00035141,0.020397,-0.020397,0.020400027
0.925,0.9,0.95,0.1402,0.00035276,-0.00035276,0.021176,-0.021176,0.021178938
0.975,0.95,1,0.15412,0.00044497,-0.00044497,0.0039257,-0.0039257,0.003950838
1.05,1,1.1,0.16497,0.00036328,-0.00036328,0.019583,-0.019583,0.019586369
1.15,1.1,1.2,0.18086,0.00043669,-0.00043669,0.0058505,-0.0058505,0.005866775
1.25,1.2,1.3,0.1958,0.00052643,-0.00052643,0.0065783,-0.0065783,0.00659933
1.35,1.3,1.4,0.20739,0.00061415,-0.00061415,0.0067241,-0.0067241,0.006752089
1.45,1.4,1.5,0.21808,0.00070556,-0.00070556,0.0069821,-0.0069821,0.007017659
1.55,1.5,1.6,0.22301,0.0013594,-0.0013594,0.0060037,-0.0060037,0.006155679
1.65,1.6,1.7,0.23216,0.0015267,-0.0015267,0.0065174,-0.0065174,0.006693827
1.75,1.7,1.8,0.24051,0.0015628,-0.0015628,0.0061674,-0.0061674,0.006362324
1.85,1.8,1.9,0.24657,0.0017254,-0.0017254,0.0063847,-0.0063847,0.006613728
1.95,1.9,2,0.24992,0.0017538,-0.0017538,0.0059176,-0.0059176,0.006172018
2.1,2,2.2,0.25216,0.0018404,-0.0018404,0.0058156,-0.0058156,0.006099859
2.3,2.2,2.4,0.25965,0.0024567,-0.0024567,0.0066348,-0.0066348,0.007075023
2.5,2.4,2.6,0.25965,0.0028696,-0.0028696,0.0065754,-0.0065754,0.007174294
2.7,2.6,2.8,0.26362,0.0036958,-0.0036958,0.0071855,-0.0071855,0.008080244
2.9,2.8,3,0.26841,0.0046895,-0.0046895,0.007793,-0.007793,0.009095178
3.1,3,3.2,0.26086,0.0065493,-0.0065493,0.01198,-0.01198,0.013653341
3.3,3.2,3.4,0.25731,0.0069634,-0.0069634,0.014955,-0.014955,0.016496696
3.5,3.4,3.6,0.251,0.007514,-0.007514,0.016692,-0.016692,0.018305274
3.7,3.6,3.8,0.24936,0.007786,-0.007786,0.020077,-0.020077,0.021533874
3.9,3.8,4,0.24192,0.0077451,-0.0077451,0.02068,-0.02068,0.022082776
4.25,4,4.5,0.23241,0.0031106,-0.0031106,0.025996,-0.025996,0.026181441
4.75,4.5,5,0.21914,0.003881,-0.003881,0.025162,-0.025162,0.025459544
5.25,5,5.5,0.20121,0.0046175,-0.0046175,0.020213,-0.020213,0.020733709
5.75,5.5,6,0.18458,0.005454,-0.005454,0.020683,-0.020683,0.021390012
6.25,6,6.5,0.17333,0.0061743,-0.0061743,0.019348,-0.019348,0.020309286
6.75,6.5,7,0.16769,0.0073123,-0.0073123,0.018703,-0.018703,0.020081632
7.5,7,8,0.15514,0.0067331,-0.0067331,0.01772,-0.01772,0.018956082
8.5,8,9,0.13484,0.0081749,-0.0081749,0.020365,-0.020365,0.021944526
9.5,9,10,0.13014,0.010677,-0.010677,0.019656,-0.019656,0.022368654
10.5,10,11,0.13828,0.014226,-0.014226,0.020885,-0.020885,0.02526979
11.5,11,12,0.11608,0.016085,-0.016085,0.017531,-0.017531,0.023792082
12.5,12,13,0.09572,0.017342,-0.017342,0.014457,-0.014457,0.02257764
13.5,13,14,0.082639,0.018155,-0.018155,0.012481,-0.012481,0.022031327
14.5,14,15,0.090926,0.026927,-0.026927,0.013733,-0.013733,0.030226786
15.5,15,16,0.13059,0.036873,-0.036873,0.019724,-0.019724,0.041816914
17,16,18,0.11174,0.030073,-0.030073,0.016877,-0.016877,0.034485047
19,18,20,0.074725,0.031162,-0.031162,0.011286,-0.011286,0.033142783
